tahmkench,3026
singed,2743
vayne,2616
zac,2382
ornn,2169
maokai,2041
nasus,1988
camille,1642
olaf,1481
kayle,1467
poppy,1332
rengar,1290
quinn,1237
illaoi,1229
shen,1205
fiora,941
urgot,926
malphite,916
naafiri,914
teemo,890
akshan,722
tryndamere,547
chogath,521
ksante,509
kled,439
riven,407
jax,261
swain,230
irelia,195
darius,162
aatrox,160
wukong,0
gwen,-26
pantheon,-127
garen,-156
gnar,-227
warwick,-297
sett,-526
kennen,-932
vladimir,-1047
mordekaiser,-1081
volibear,-1183
zed,-1183
yone,-1506
gangplank,-1515
sion,-1532
udyr,-1604
jayce,-1625
rumble,-1745
renekton,-2029
sylas,-2108
briar,-2176
drmundo,-2209
yorick,-2265
akali,-2606
yasuo,-2844
gragas,-2981
trundle,-3100
