K'Sante,50.23%,14.15%,16.13%
Malphite,51.57%,5.56%,10.21%
Camille,51.78%,4.82%,3.14%
Tahm Kench,52.38%,3.28%,0.68%
Aatrox,50.27%,10.35%,12.74%
Ornn,52.01%,4.09%,0.59%
Nasus,51.82%,4.29%,3.42%
Darius,50.48%,8.12%,18.35%
Garen,50.23%,9.31%,8.77%
Fiora,50.90%,5.74%,13.67%
Jax,49.85%,9.81%,13.98%
Illaoi,51.21%,4.05%,9.71%
Olaf,52.09%,2.45%,2.34%
Kayle,51.86%,2.81%,1.18%
Singed,52.62%,1.78%,0.29%
Poppy,51.83%,2.19%,1.73%
Gwen,50.56%,3.14%,1.73%
Shen,51.35%,1.95%,0.17%
Irelia,49.98%,3.77%,6.12%
Sett,49.71%,4.35%,1.00%
Quinn,51.54%,1.46%,1.23%
Riven,49.90%,3.67%,0.99%
Zac,52.25%,0.82%,0.45%
Pantheon,50.36%,2.48%,1.39%
Vayne,51.25%,1.32%,0.87%
Renekton,48.34%,7.49%,6.22%
Yone,47.86%,7.70%,10.00%
Tryndamere,50.23%,2.52%,3.07%
Urgot,50.68%,1.87%,0.33%
Gnar,49.66%,3.36%,0.57%
Akshan,51.91%,0.78%,1.24%
Cho'Gath,50.55%,1.82%,0.29%
Gangplank,48.94%,4.34%,3.88%
Maokai,51.58%,0.90%,0.22%
Teemo,50.09%,2.22%,1.64%
Volibear,49.44%,2.96%,0.78%
Kled,50.38%,1.50%,0.71%
Mordekaiser,48.93%,3.35%,3.71%
Naafiri,51.24%,0.72%,1.47%
Jayce,47.89%,4.96%,1.75%
Sion,48.56%,3.39%,1.33%
Sylas,49.45%,1.45%,1.80%
Rengar,50.45%,0.98%,1.54%
Warwick,49.97%,1.02%,0.26%
Akali,47.95%,2.80%,3.33%
Vladimir,50.05%,0.92%,0.97%
Rumble,47.80%,3.36%,2.17%
Dr. Mundo,48.37%,2.24%,1.21%
Wukong,50.47%,0.64%,0.09%
Yorick,48.27%,1.92%,2.19%
Kennen,48.46%,1.57%,0.92%
Udyr,49.54%,0.82%,0.36%
Swain,50.01%,0.57%,0.22%
Yasuo,47.21%,1.79%,3.02%
Zed,47.89%,0.73%,2.75%
Briar,47.35%,0.59%,3.01%
Gragas,47.38%,1.03%,0.23%
Trundle,47.04%,0.86%,0.19%
