K'Sante,48.51%,"6,308"
Renekton,52.82%,"3,917"
Darius,48.69%,"3,664"
Yone,50.01%,"3,407"
Jax,50.46%,"3,359"
Fiora,47.14%,"3,076"
Garen,50.05%,"2,995"
Jayce,48.36%,"2,843"
Camille,51.24%,"1,983"
Irelia,50.10%,"1,966"
Malphite,49.28%,"1,806"
Gangplank,53.78%,"1,731"
Sett,53.19%,"1,679"
Illaoi,48.45%,"1,579"
Rumble,52.30%,"1,501"
Ornn,49.90%,"1,495"
Riven,51.52%,"1,347"
Nasus,51.13%,"1,279"
Gnar,52.59%,"1,234"
Sion,58.83%,"1,166"
Mordekaiser,52.69%,"1,152"
Akali,54.22%,"1,101"
Gwen,50.73%,"1,098"
Volibear,52.02%,"1,038"
Pantheon,49.81%,"1,028"
Tahm Kench,50.41%,970
Poppy,46.16%,886
Tryndamere,50.35%,852
Olaf,49.88%,828
Kayle,49.69%,807
Dr. Mundo,61.80%,754
Kled,48.70%,733
Urgot,49.32%,732
Teemo,50.21%,725
Yasuo,54.05%,692
Yorick,51.54%,683
Singed,45.37%,648
Shen,51.01%,596
Kennen,49.24%,593
Vayne,47.69%,520
Cho'Gath,52.35%,489
Quinn,49.79%,478
Sylas,55.65%,478
Warwick,48.99%,445
Maokai,46.49%,441
Gragas,49.77%,430
Rengar,50.48%,418
Udyr,47.53%,364
Zac,50.00%,338
Naafiri,48.08%,312
Wukong,48.05%,308
Vladimir,47.08%,291
Trundle,49.81%,263
Akshan,50.96%,261
Zed,46.64%,253
Swain,44.81%,212
