K'Sante,47.99%,"1,521"
Jax,51.04%,"1,487"
Yone,52.90%,"1,259"
Aatrox,46.22%,"1,242"
Renekton,48.31%,"1,004"
Garen,46.37%,908
Darius,47.29%,812
Jayce,45.78%,734
Fiora,46.23%,729
Camille,45.96%,557
Irelia,49.37%,555
Malphite,48.88%,489
Gangplank,46.45%,465
Nasus,44.57%,451
Rumble,52.28%,438
Sett,44.90%,392
Ornn,45.55%,382
Riven,45.93%,381
Gwen,52.51%,339
Illaoi,42.31%,338
Sion,51.96%,331
Mordekaiser,54.75%,316
Gnar,50.00%,310
Poppy,42.72%,309
Sylas,49.15%,295
Pantheon,44.10%,288
Tryndamere,50.00%,278
Volibear,45.09%,275
Tahm Kench,47.81%,274
Teemo,50.74%,272
Yasuo,50.40%,248
Kayle,52.05%,244
Kennen,42.79%,229
Olaf,48.90%,227
Shen,45.79%,214
Kled,50.96%,208
Urgot,43.56%,202
Dr. Mundo,43.39%,189
Singed,45.11%,184
Quinn,47.34%,169
Cho'Gath,40.37%,161
Maokai,44.00%,150
Vayne,47.48%,139
Vladimir,47.10%,138
Yorick,48.51%,134
Rengar,39.69%,131
Warwick,49.17%,120
Naafiri,42.48%,113
Akshan,39.64%,111
Gragas,53.27%,107
Zed,54.84%,93
Zac,40.48%,84
Trundle,49.37%,79
Udyr,51.95%,77
Swain,53.73%,67
Briar,50.00%,46
Wukong,45.45%,44
