K'Sante,54.93%,355
Malphite,44.18%,292
Garen,50.36%,280
Yone,53.16%,269
Aatrox,49.24%,262
Gangplank,52.90%,259
Darius,48.96%,192
Jayce,51.69%,178
Fiora,52.30%,174
Jax,50.58%,172
Rumble,60.00%,165
Renekton,53.05%,164
Irelia,50.00%,144
Gnar,54.48%,134
Camille,53.13%,128
Illaoi,54.39%,114
Ornn,57.89%,114
Nasus,48.54%,103
Pantheon,48.96%,96
Akali,61.46%,96
Sett,47.78%,90
Kayle,43.68%,87
Sion,55.42%,83
Riven,56.94%,72
Tahm Kench,43.48%,69
Gwen,49.28%,69
Olaf,62.69%,67
Mordekaiser,53.85%,65
Quinn,41.54%,65
Teemo,54.69%,64
Vayne,52.46%,61
Urgot,50.00%,58
Dr. Mundo,66.67%,57
Yasuo,56.14%,57
Shen,35.71%,56
Tryndamere,45.45%,55
Kennen,49.06%,53
Poppy,45.10%,51
Volibear,58.82%,51
Singed,44.44%,45
Cho'Gath,51.22%,41
Sylas,62.16%,37
Vladimir,47.22%,36
Yorick,50.00%,36
Kled,48.57%,35
