K'Sante,47.52%,343
Aatrox,52.03%,246
Jax,41.98%,243
Garen,43.06%,216
Darius,44.86%,214
Yone,48.04%,204
Renekton,56.07%,173
Malphite,40.56%,143
Fiora,36.51%,126
Camille,44.44%,126
Sett,50.41%,121
Riven,41.53%,118
Jayce,50.86%,116
Nasus,38.38%,99
Illaoi,43.16%,95
Ornn,40.43%,94
Gangplank,48.86%,88
Irelia,51.72%,87
Sion,61.63%,86
Tahm Kench,43.75%,80
Kayle,50.65%,77
Rumble,52.11%,71
Olaf,40.58%,69
Gwen,55.22%,67
Mordekaiser,50.00%,66
Volibear,59.38%,64
Gnar,50.79%,63
Pantheon,32.20%,59
Tryndamere,52.63%,57
Yorick,62.75%,51
Kled,39.22%,51
Urgot,36.73%,49
Teemo,41.30%,46
Akali,50.00%,46
Singed,45.45%,44
Shen,46.51%,43
Cho'Gath,50.00%,42
Yasuo,57.14%,42
Poppy,39.02%,41
Dr. Mundo,45.00%,40
Quinn,43.24%,37
