K'Sante,50.76%,"3,028"
Garen,55.60%,"3,016"
Aatrox,48.96%,"2,298"
Jax,49.29%,"2,183"
Renekton,50.75%,"1,807"
Darius,49.66%,"1,629"
Yone,53.38%,"1,493"
Fiora,50.29%,"1,376"
Ornn,50.37%,"1,092"
Jayce,56.22%,948
Malphite,49.60%,883
Nasus,52.80%,875
Riven,51.62%,864
Sett,51.25%,843
Gnar,56.52%,775
Sion,55.07%,750
Gangplank,50.27%,746
Illaoi,51.83%,737
Irelia,53.55%,676
Tahm Kench,48.93%,652
Volibear,50.39%,633
Rumble,52.20%,613
Mordekaiser,52.07%,603
Shen,44.43%,592
Poppy,48.75%,560
Akali,54.04%,557
Gwen,50.91%,550
Pantheon,53.94%,508
Kayle,51.68%,476
Dr. Mundo,54.21%,463
Tryndamere,54.27%,457
Olaf,50.11%,451
Singed,50.00%,410
Urgot,53.02%,398
Kled,54.44%,349
Teemo,52.08%,336
Yasuo,57.00%,300
Cho'Gath,50.34%,296
Kennen,50.92%,273
Yorick,55.39%,269
Quinn,50.60%,249
Warwick,51.03%,243
Zac,46.34%,205
Vayne,47.50%,200
Vladimir,51.60%,188
Maokai,51.09%,184
Rengar,51.63%,184
Gragas,55.19%,183
Sylas,55.93%,177
Udyr,54.43%,158
Zed,54.05%,148
Akshan,47.62%,147
Wukong,54.74%,137
Trundle,47.37%,133
Briar,55.56%,126
Naafiri,50.00%,126
Swain,59.38%,96
