K'Sante,45.82%,718
Jax,55.21%,681
Garen,52.35%,617
Darius,50.29%,515
Aatrox,47.34%,488
Yone,52.99%,451
Renekton,56.08%,403
Malphite,55.90%,390
Fiora,45.08%,366
Sett,50.99%,304
Gwen,39.53%,301
Sion,47.16%,299
Gangplank,56.09%,271
Nasus,43.91%,271
Jayce,52.87%,261
Camille,49.04%,261
Ornn,43.65%,252
Teemo,54.07%,246
Riven,49.59%,246
Mordekaiser,48.90%,227
Gnar,55.61%,223
Illaoi,43.19%,213
Volibear,50.51%,198
Rumble,53.71%,175
Tahm Kench,38.86%,175
Dr. Mundo,49.10%,167
Irelia,51.28%,156
Pantheon,51.01%,149
Olaf,50.68%,148
Akali,58.04%,143
Tryndamere,51.80%,139
Kayle,47.79%,136
Shen,51.11%,135
Singed,51.15%,131
Urgot,48.78%,123
Sylas,53.10%,113
Poppy,42.45%,106
Yorick,57.14%,105
Yasuo,61.54%,104
Quinn,45.36%,97
Kennen,55.56%,90
Kled,42.68%,82
Vayne,40.74%,81
Gragas,58.46%,65
Warwick,58.33%,60
Trundle,48.33%,60
Vladimir,53.06%,49
Zed,59.57%,47
Maokai,56.52%,46
Rengar,50.00%,46
Udyr,46.51%,43
Akshan,47.62%,42
Naafiri,40.48%,42
Wukong,45.00%,40
Zac,44.44%,36
Swain,53.13%,32
