K'Sante,51.58%,"5,395"
Aatrox,51.28%,"4,212"
Garen,51.33%,"3,840"
Jax,48.82%,"3,228"
Renekton,53.30%,"2,876"
Yone,52.39%,"2,430"
Sett,49.43%,"2,029"
Fiora,53.17%,"1,877"
Ornn,46.72%,"1,676"
Jayce,49.02%,"1,640"
Camille,50.46%,"1,627"
Malphite,49.00%,"1,449"
Illaoi,49.23%,"1,426"
Nasus,50.11%,"1,391"
Riven,50.61%,"1,385"
Gangplank,46.93%,"1,270"
Sion,52.56%,"1,174"
Gnar,49.06%,"1,174"
Mordekaiser,53.44%,"1,149"
Volibear,52.36%,"1,123"
Tahm Kench,45.83%,"1,102"
Irelia,50.42%,"1,067"
Dr. Mundo,48.71%,967
Rumble,51.83%,955
Kayle,47.17%,901
Pantheon,52.50%,880
Akali,52.77%,811
Gwen,51.00%,800
Olaf,48.89%,769
Tryndamere,50.98%,714
Teemo,47.51%,684
Urgot,48.34%,662
Poppy,50.31%,642
Shen,53.85%,637
Yorick,49.44%,629
Vayne,45.94%,616
Kennen,51.44%,589
Cho'Gath,48.72%,587
Singed,50.44%,569
Kled,46.45%,564
Quinn,44.99%,509
Yasuo,54.56%,504
Wukong,46.04%,391
Maokai,46.97%,347
Warwick,51.75%,342
Gragas,46.39%,319
Sylas,55.41%,296
Zac,49.45%,273
Udyr,55.30%,264
Trundle,50.78%,258
Rengar,53.97%,252
Akshan,51.54%,227
Vladimir,53.98%,226
Naafiri,47.73%,220
Briar,55.35%,215
Zed,46.67%,210
Swain,50.79%,189
