K'Sante,44.41%,"1,047"
Darius,50.98%,965
Jax,49.89%,886
Aatrox,39.15%,848
Garen,46.68%,797
Yone,47.95%,657
Malphite,59.03%,620
Renekton,54.94%,617
Nasus,43.02%,523
Gwen,41.85%,466
Camille,45.81%,465
Gangplank,54.39%,456
Ornn,47.41%,424
Jayce,53.48%,402
Fiora,44.92%,394
Illaoi,50.29%,344
Sett,47.23%,343
Sion,51.92%,312
Gnar,48.86%,307
Rumble,45.72%,304
Volibear,52.63%,304
Tahm Kench,43.39%,295
Mordekaiser,42.11%,285
Riven,42.75%,262
Irelia,49.03%,257
Olaf,41.83%,208
Pantheon,46.38%,207
Kayle,45.85%,205
Tryndamere,43.90%,205
Urgot,46.53%,202
Teemo,39.80%,201
Poppy,48.21%,195
Cho'Gath,49.48%,192
Akali,56.84%,190
Singed,47.43%,175
Shen,49.12%,171
Kennen,51.25%,160
Yorick,49.66%,149
Yasuo,57.05%,149
Quinn,55.24%,143
Vayne,46.51%,129
Kled,43.31%,127
Trundle,59.82%,112
Sylas,44.04%,109
Maokai,43.27%,104
Warwick,52.00%,100
Udyr,44.09%,93
Rengar,40.86%,93
Zac,37.21%,86
Gragas,57.32%,82
Vladimir,47.22%,72
Swain,45.45%,66
Zed,53.13%,64
Akshan,36.51%,63
Naafiri,31.03%,58
Wukong,43.48%,46
Briar,55.00%,40
