K'Sante,52.79%,"5,024"
Aatrox,52.38%,"3,545"
Jax,50.54%,"2,673"
Yone,53.62%,"2,072"
Darius,46.71%,"1,882"
Garen,53.33%,"1,860"
Renekton,49.32%,"1,764"
Malphite,46.46%,"1,412"
Camille,49.78%,"1,378"
Jayce,50.44%,"1,241"
Riven,47.96%,"1,076"
Nasus,46.36%,"1,029"
Ornn,51.62%,"1,019"
Sett,52.21%,927
Irelia,51.74%,918
Gangplank,51.61%,901
Illaoi,49.64%,826
Tahm Kench,51.91%,811
Sion,54.74%,780
Akali,53.85%,728
Gnar,49.38%,721
Rumble,53.97%,693
Mordekaiser,55.70%,675
Kayle,47.34%,638
Poppy,47.28%,624
Gwen,52.40%,605
Volibear,54.03%,596
Tryndamere,49.23%,583
Pantheon,50.82%,551
Olaf,52.39%,544
Urgot,50.65%,464
Cho'Gath,55.18%,444
Shen,50.47%,422
Dr. Mundo,55.08%,394
Kennen,52.28%,394
Teemo,51.17%,383
Yasuo,49.34%,377
Singed,47.96%,367
Warwick,51.42%,317
Yorick,50.80%,313
Kled,57.97%,295
Quinn,47.04%,287
Vayne,44.03%,268
Sylas,50.00%,252
Vladimir,49.00%,251
Zac,49.79%,233
Udyr,49.33%,225
Rengar,49.76%,211
Akshan,48.78%,205
Maokai,50.75%,201
Trundle,56.38%,188
Gragas,53.63%,179
Wukong,41.83%,153
Zed,53.69%,149
Naafiri,52.55%,137
Briar,63.20%,125
Swain,49.56%,113
