K'Sante,47.52%,"2,658"
Aatrox,46.41%,"1,980"
Jax,52.48%,"1,757"
Garen,44.40%,"1,500"
Yone,53.47%,"1,440"
Darius,53.04%,"1,267"
Renekton,52.39%,"1,128"
Jayce,51.03%,"1,113"
Irelia,47.37%,950
Fiora,48.56%,900
Malphite,47.97%,888
Camille,50.00%,746
Nasus,47.57%,700
Riven,46.66%,673
Sett,50.68%,661
Tryndamere,44.05%,656
Ornn,46.81%,643
Sion,46.65%,641
Gnar,47.54%,589
Illaoi,50.08%,589
Rumble,51.37%,584
Olaf,44.74%,561
Tahm Kench,45.23%,555
Kayle,45.54%,549
Gwen,46.25%,493
Mordekaiser,53.18%,472
Akali,53.45%,464
Dr. Mundo,45.59%,454
Pantheon,49.55%,442
Volibear,44.59%,379
Shen,53.48%,374
Urgot,48.73%,353
Poppy,51.70%,352
Yorick,48.69%,343
Yasuo,50.91%,330
Teemo,44.98%,329
Kled,42.55%,329
Singed,56.92%,325
Cho'Gath,45.11%,317
Akshan,45.64%,298
Quinn,45.10%,286
Vladimir,46.83%,252
Kennen,50.00%,244
Rengar,48.60%,214
Warwick,52.66%,188
Sylas,50.27%,187
Zac,43.79%,169
Maokai,48.10%,158
Udyr,45.27%,148
Gragas,45.00%,140
Naafiri,42.65%,136
Zed,52.63%,133
Vayne,46.72%,122
Trundle,48.74%,119
Wukong,50.00%,104
Swain,43.33%,90
Briar,51.14%,88
