K'Sante,50.14%,"2,445"
Aatrox,48.47%,"1,471"
Garen,49.53%,"1,274"
Renekton,50.21%,"1,215"
Darius,50.81%,"1,177"
Jax,51.69%,"1,093"
Yone,52.58%,987
Malphite,44.54%,898
Jayce,51.89%,871
Irelia,46.42%,823
Camille,43.35%,775
Fiora,50.56%,720
Sett,55.47%,622
Nasus,46.12%,618
Ornn,49.51%,618
Gangplank,52.80%,589
Rumble,54.06%,579
Illaoi,50.97%,518
Tahm Kench,46.77%,449
Riven,46.88%,433
Volibear,53.41%,410
Sion,53.18%,393
Olaf,48.29%,381
Mordekaiser,52.96%,355
Sylas,46.76%,340
Gwen,49.24%,331
Kayle,53.70%,324
Pantheon,46.86%,318
Akali,50.16%,311
Dr. Mundo,50.97%,308
Urgot,53.18%,299
Poppy,45.48%,299
Tryndamere,51.25%,279
Kennen,51.09%,274
Yasuo,45.56%,270
Cho'Gath,42.91%,268
Singed,47.66%,256
Teemo,49.60%,252
Yorick,56.49%,239
Quinn,48.51%,235
Shen,47.64%,212
Kled,50.95%,210
Akshan,46.25%,160
Vayne,47.33%,150
Maokai,44.52%,146
Gragas,51.80%,139
Vladimir,51.15%,131
Zac,53.97%,126
Udyr,59.50%,121
Rengar,38.66%,119
Warwick,52.63%,114
Wukong,55.77%,104
Trundle,56.31%,103
Zed,52.69%,93
Swain,53.66%,82
Naafiri,39.24%,79
Briar,48.39%,62
