Jax,47.75%,976
Aatrox,50.23%,434
K'Sante,43.25%,400
Garen,49.50%,299
Renekton,47.65%,277
Darius,50.74%,272
Yone,46.84%,237
Jayce,49.55%,222
Riven,56.85%,197
Malphite,42.94%,177
Camille,43.67%,158
Ornn,45.39%,152
Fiora,46.67%,150
Sion,38.89%,144
Nasus,48.48%,132
Irelia,43.85%,130
Rumble,51.20%,125
Sett,48.39%,124
Gnar,46.72%,122
Gangplank,55.17%,116
Illaoi,43.97%,116
Gwen,55.86%,111
Tahm Kench,47.42%,97
Pantheon,49.47%,95
Poppy,48.31%,89
Akali,50.00%,88
Volibear,46.51%,86
Tryndamere,52.38%,84
Teemo,44.58%,83
Mordekaiser,51.22%,82
Kayle,51.85%,81
Olaf,50.63%,79
Shen,35.53%,76
Dr. Mundo,43.84%,73
Quinn,53.03%,66
Cho'Gath,41.54%,65
Yasuo,42.86%,63
Singed,37.70%,61
Urgot,45.61%,57
Yorick,48.21%,56
Sylas,56.36%,55
Rengar,43.18%,44
Kled,44.19%,43
Maokai,35.71%,42
Kennen,45.24%,42
Vayne,36.59%,41
Zed,41.03%,39
Warwick,40.54%,37
Naafiri,40.00%,30
