K'Sante,51.44%,"2,926"
Aatrox,49.18%,"1,100"
Jax,48.74%,"1,028"
Garen,48.85%,913
Renekton,55.47%,795
Ornn,50.27%,744
Sion,56.72%,707
Yone,48.05%,691
Darius,49.70%,666
Malphite,50.86%,641
Illaoi,53.18%,598
Fiora,47.81%,525
Nasus,54.99%,491
Camille,49.47%,469
Tahm Kench,48.39%,465
Sett,51.29%,464
Gangplank,53.64%,412
Dr. Mundo,59.31%,403
Jayce,49.20%,374
Riven,47.53%,324
Mordekaiser,48.88%,313
Volibear,51.16%,301
Cho'Gath,60.67%,300
Poppy,40.69%,290
Akali,46.55%,290
Shen,51.22%,287
Gnar,50.70%,286
Irelia,51.80%,278
Kayle,45.02%,271
Tryndamere,51.30%,269
Olaf,49.62%,264
Rumble,51.00%,251
Pantheon,52.07%,242
Yorick,49.77%,221
Kled,48.60%,179
Urgot,50.60%,168
Yasuo,50.60%,166
Teemo,45.40%,163
Singed,44.52%,155
Warwick,46.36%,151
Kennen,58.16%,141
Quinn,47.37%,114
Maokai,48.65%,111
Gragas,45.05%,111
Zac,56.36%,110
Udyr,50.98%,102
Trundle,56.57%,99
Sylas,60.61%,99
Vladimir,44.32%,88
Rengar,38.46%,78
Naafiri,44.74%,76
Akshan,50.72%,69
Vayne,46.15%,65
Zed,49.12%,57
Wukong,45.45%,55
Swain,60.42%,48
