K'Sante,51.54%,"2,757"
Jax,54.68%,"1,796"
Aatrox,51.04%,"1,787"
Darius,50.87%,"1,429"
Renekton,57.70%,"1,371"
Garen,48.91%,"1,370"
Yone,52.31%,"1,170"
Mordekaiser,47.85%,"1,070"
Fiora,50.36%,828
Nasus,52.15%,815
Camille,48.24%,738
Ornn,48.36%,730
Sett,49.72%,724
Gwen,46.46%,706
Malphite,50.14%,698
Riven,54.46%,628
Sion,49.75%,611
Jayce,52.02%,594
Tahm Kench,51.86%,592
Gangplank,49.83%,588
Volibear,54.14%,556
Kayle,48.90%,544
Gnar,49.23%,520
Irelia,51.40%,500
Tryndamere,49.67%,449
Yorick,50.45%,446
Rumble,51.54%,421
Pantheon,52.59%,386
Olaf,50.99%,353
Dr. Mundo,50.29%,344
Akali,57.40%,338
Shen,46.39%,332
Poppy,50.76%,329
Urgot,53.87%,297
Vayne,44.57%,276
Yasuo,46.30%,270
Teemo,48.69%,267
Kled,55.43%,258
Cho'Gath,56.40%,250
Singed,48.07%,233
Kennen,53.16%,190
Quinn,43.09%,181
Sylas,55.81%,172
Zac,46.75%,169
Rengar,53.16%,158
Warwick,52.03%,148
Udyr,48.95%,143
Gragas,58.39%,137
Trundle,52.94%,136
Maokai,58.78%,131
Akshan,44.19%,129
Naafiri,50.00%,118
Swain,44.04%,109
Briar,56.84%,95
Vladimir,53.19%,94
Zed,50.00%,84
Wukong,58.23%,79
