Aatrox,50.00%,"1,970"
K'Sante,48.27%,"1,562"
Jayce,55.36%,"1,398"
Jax,46.29%,"1,335"
Yone,53.12%,"1,186"
Renekton,49.19%,"1,049"
Garen,48.52%,979
Darius,49.03%,930
Gangplank,53.12%,834
Fiora,49.11%,786
Sett,44.47%,742
Gnar,54.82%,706
Malphite,47.80%,705
Camille,46.85%,604
Rumble,53.77%,597
Akali,51.48%,472
Riven,48.50%,468
Illaoi,48.31%,443
Kayle,52.88%,416
Volibear,44.31%,404
Nasus,42.79%,402
Ornn,48.22%,394
Sion,52.89%,363
Pantheon,50.63%,320
Poppy,47.65%,319
Tryndamere,46.10%,308
Yorick,57.57%,304
Mordekaiser,53.72%,296
Kennen,50.00%,294
Gwen,48.01%,277
Tahm Kench,53.82%,262
Yasuo,47.27%,256
Olaf,47.22%,252
Quinn,51.39%,251
Teemo,53.04%,247
Dr. Mundo,52.61%,230
Singed,41.87%,203
Kled,52.82%,195
Shen,46.91%,194
Urgot,43.92%,189
Sylas,56.45%,186
Vayne,48.50%,167
Cho'Gath,48.72%,156
Vladimir,54.90%,153
Trundle,50.68%,146
Akshan,50.34%,145
Warwick,49.31%,144
Gragas,56.15%,130
Zed,47.97%,123
Rengar,44.26%,122
Maokai,47.12%,104
Udyr,53.06%,98
Zac,50.00%,94
Naafiri,60.64%,94
Swain,52.50%,80
Wukong,54.93%,71
