K'Sante,49.36%,"5,346"
Garen,46.76%,"4,669"
Aatrox,49.39%,"3,361"
Renekton,52.53%,"3,320"
Yone,53.05%,"2,984"
Darius,51.06%,"2,746"
Malphite,47.06%,"2,497"
Fiora,49.54%,"2,261"
Camille,50.38%,"1,852"
Jayce,49.61%,"1,661"
Illaoi,45.22%,"1,506"
Gangplank,47.42%,"1,495"
Irelia,53.67%,"1,336"
Sett,52.08%,"1,296"
Akali,49.05%,"1,266"
Riven,50.08%,"1,262"
Ornn,50.24%,"1,260"
Tryndamere,52.32%,"1,099"
Rumble,53.49%,"1,088"
Gwen,51.21%,"1,029"
Nasus,47.27%,"1,026"
Poppy,49.01%,"1,006"
Tahm Kench,49.50%,994
Gragas,52.15%,978
Pantheon,46.38%,966
Sion,50.37%,939
Mordekaiser,52.30%,933
Volibear,53.06%,916
Gnar,48.10%,894
Kennen,49.57%,819
Olaf,47.90%,808
Kayle,49.42%,771
Dr. Mundo,51.24%,769
Shen,47.87%,729
Cho'Gath,44.80%,683
Yorick,58.36%,682
Singed,43.78%,635
Urgot,49.28%,627
Kled,52.19%,594
Teemo,47.33%,562
Quinn,45.86%,543
Yasuo,55.33%,535
Vladimir,44.42%,448
Rengar,48.32%,447
Sylas,55.08%,354
Maokai,48.50%,301
Vayne,52.00%,300
Zac,46.95%,279
Trundle,55.27%,275
Udyr,51.84%,272
Warwick,51.67%,269
Wukong,45.41%,229
Naafiri,53.70%,216
Zed,53.66%,205
Swain,54.91%,173
Akshan,49.71%,173
