Aatrox,50.92%,"3,244"
K'Sante,45.36%,"2,778"
Malphite,43.61%,"2,302"
Jax,49.70%,"1,978"
Yone,51.62%,"1,823"
Darius,51.13%,"1,633"
Irelia,45.30%,"1,596"
Renekton,49.05%,"1,519"
Fiora,49.64%,"1,241"
Garen,47.00%,"1,232"
Gangplank,49.01%,"1,112"
Rumble,51.31%,994
Camille,43.79%,950
Nasus,41.94%,906
Gnar,47.99%,871
Ornn,44.35%,805
Akali,54.09%,734
Riven,46.56%,668
Sion,49.20%,624
Sett,47.26%,620
Illaoi,48.06%,593
Tryndamere,47.13%,541
Pantheon,48.96%,531
Tahm Kench,41.89%,518
Poppy,41.13%,479
Olaf,45.76%,472
Kayle,52.05%,463
Kennen,51.31%,458
Gwen,51.60%,438
Teemo,52.47%,425
Quinn,47.41%,424
Yasuo,52.91%,412
Dr. Mundo,46.52%,402
Volibear,50.50%,398
Mordekaiser,47.84%,370
Urgot,46.80%,359
Sylas,56.12%,335
Yorick,48.88%,313
Cho'Gath,47.95%,292
Singed,47.67%,279
Shen,48.18%,274
Gragas,50.79%,254
Kled,49.01%,253
Rengar,48.12%,239
Vayne,49.16%,238
Vladimir,54.75%,221
Maokai,44.71%,208
Akshan,49.02%,204
Zed,56.57%,198
Zac,40.24%,169
Udyr,53.55%,155
Warwick,46.75%,154
Naafiri,42.66%,143
Wukong,45.00%,140
Briar,48.72%,117
Trundle,51.55%,97
Swain,46.74%,92
