K'Sante,52.42%,"2,373"
Garen,54.45%,"1,482"
Aatrox,51.02%,931
Jax,49.95%,911
Darius,52.83%,901
Yone,48.57%,807
Nasus,48.22%,757
Renekton,53.52%,654
Fiora,52.51%,638
Malphite,44.75%,610
Gangplank,54.26%,551
Illaoi,51.19%,545
Irelia,44.88%,488
Camille,48.33%,478
Ornn,48.28%,464
Jayce,47.72%,461
Sett,52.26%,398
Riven,51.24%,363
Sion,54.15%,349
Singed,53.21%,327
Gnar,45.68%,324
Volibear,57.78%,315
Gwen,56.05%,314
Tahm Kench,49.84%,305
Mordekaiser,55.96%,302
Tryndamere,50.00%,300
Rumble,50.34%,298
Urgot,57.46%,268
Pantheon,53.52%,256
Akali,47.95%,244
Poppy,53.78%,238
Yorick,50.43%,232
Olaf,52.65%,226
Shen,54.87%,226
Dr. Mundo,53.92%,204
Yasuo,57.14%,203
Teemo,48.48%,198
Sylas,50.88%,171
Kennen,54.04%,161
Cho'Gath,50.97%,155
Kled,48.98%,147
Quinn,50.40%,125
Rengar,48.28%,116
Warwick,49.55%,111
Vayne,49.04%,104
Akshan,55.10%,98
Udyr,57.29%,96
Gragas,46.81%,94
Vladimir,51.14%,88
Maokai,48.24%,85
Zed,58.75%,80
Trundle,53.16%,79
Zac,47.44%,78
Briar,50.00%,78
Naafiri,49.35%,77
Swain,48.48%,66
Wukong,60.94%,64
