K'Sante,51.04%,821
Aatrox,51.37%,732
Jax,47.90%,595
Garen,48.06%,489
Darius,53.28%,488
Renekton,53.14%,446
Yone,50.00%,404
Camille,46.58%,307
Gangplank,60.00%,280
Sett,56.11%,262
Fiora,42.75%,255
Malphite,53.62%,235
Riven,49.10%,222
Jayce,51.58%,221
Ornn,44.75%,219
Illaoi,44.65%,215
Irelia,46.94%,196
Gnar,50.27%,183
Rumble,51.11%,180
Akali,51.67%,180
Volibear,53.89%,180
Gwen,52.22%,180
Mordekaiser,49.72%,179
Nasus,51.88%,160
Pantheon,52.03%,148
Sion,56.55%,145
Olaf,50.71%,140
Tahm Kench,50.00%,140
Kayle,52.21%,136
Shen,44.80%,125
Tryndamere,51.28%,117
Dr. Mundo,57.27%,110
Poppy,49.52%,105
Teemo,52.48%,101
Singed,42.05%,88
Yorick,51.16%,86
Yasuo,54.65%,86
Cho'Gath,57.32%,82
Kennen,41.98%,81
Urgot,53.25%,77
Quinn,63.51%,74
Sylas,65.75%,73
Vayne,43.48%,69
Warwick,47.69%,65
Rengar,60.34%,58
Zac,46.15%,52
Trundle,46.00%,50
Gragas,55.81%,43
Vladimir,55.26%,38
Udyr,43.24%,37
Naafiri,56.76%,37
Akshan,51.43%,35
Maokai,45.45%,33
Wukong,46.88%,32
