Aatrox,51.29%,"7,345"
Garen,49.88%,"6,485"
Jax,50.20%,"6,373"
Darius,48.44%,"5,390"
Yone,53.64%,"5,216"
Fiora,47.19%,"5,029"
Renekton,51.55%,"4,916"
Gwen,48.67%,"3,501"
Camille,49.22%,"3,027"
Jayce,54.60%,"2,780"
Illaoi,48.41%,"2,766"
Gangplank,52.54%,"2,655"
Sett,50.29%,"2,587"
Gnar,49.94%,"2,441"
Ornn,50.25%,"2,432"
Kayle,47.48%,"2,365"
Riven,48.96%,"2,353"
Nasus,49.72%,"2,345"
Tahm Kench,48.43%,"2,257"
Rumble,51.87%,"2,250"
Malphite,53.12%,"2,165"
Olaf,47.13%,"2,035"
Mordekaiser,52.46%,"2,015"
Volibear,49.38%,"1,845"
Irelia,51.64%,"1,826"
Sion,52.20%,"1,640"
Poppy,47.69%,"1,581"
Akali,52.04%,"1,520"
Pantheon,51.05%,"1,379"
Shen,48.87%,"1,283"
Vayne,45.15%,"1,278"
Tryndamere,52.56%,"1,269"
Singed,48.77%,"1,218"
Urgot,51.04%,"1,154"
Yorick,50.35%,"1,138"
Teemo,50.51%,"1,075"
Dr. Mundo,55.54%,"1,046"
Yasuo,53.38%,961
Kled,48.31%,948
Cho'Gath,54.24%,850
Kennen,54.09%,771
Warwick,48.94%,709
Rengar,52.08%,697
Quinn,52.17%,692
Sylas,52.05%,682
Zac,51.35%,631
Udyr,48.41%,628
Vladimir,47.29%,590
Maokai,50.74%,542
Trundle,54.46%,538
Gragas,56.66%,473
Akshan,45.43%,427
Zed,51.30%,423
Naafiri,48.33%,418
Wukong,48.38%,401
Swain,46.85%,365
Briar,52.62%,344
