K'Sante,48.05%,462
Aatrox,53.86%,440
Jax,51.97%,304
Darius,51.32%,302
Yone,51.15%,262
Garen,49.39%,247
Renekton,54.31%,232
Jayce,54.82%,197
Malphite,57.69%,182
Fiora,49.71%,173
Nasus,48.84%,172
Camille,49.38%,160
Gangplank,53.33%,135
Akali,54.89%,133
Rumble,50.00%,130
Ornn,40.77%,130
Sett,50.00%,126
Gnar,56.91%,123
Olaf,40.87%,115
Illaoi,43.86%,114
Gwen,51.35%,111
Riven,53.70%,108
Irelia,53.33%,105
Sion,51.55%,97
Tahm Kench,44.79%,96
Dr. Mundo,56.38%,94
Poppy,56.47%,85
Mordekaiser,53.66%,82
Rengar,55.13%,78
Kayle,50.67%,75
Teemo,51.43%,70
Urgot,61.76%,68
Tryndamere,48.53%,68
Quinn,49.25%,67
Sylas,50.00%,66
Volibear,56.92%,65
Kennen,41.27%,63
Shen,54.10%,61
Pantheon,56.36%,55
Zac,52.83%,53
Singed,54.00%,50
Yasuo,64.00%,50
Cho'Gath,43.48%,46
Warwick,47.62%,42
Gragas,64.29%,42
Yorick,53.66%,41
Kled,54.55%,33
Vladimir,56.67%,30
