K'Sante,47.35%,"2,019"
Garen,53.56%,"1,391"
Aatrox,46.19%,"1,353"
Darius,46.70%,"1,150"
Jax,47.50%,"1,118"
Renekton,52.79%,"1,074"
Illaoi,52.25%,"1,068"
Malphite,53.60%,"1,015"
Yone,46.82%,803
Ornn,48.81%,713
Fiora,44.36%,674
Olaf,43.39%,673
Sett,51.27%,630
Camille,48.01%,604
Tahm Kench,45.50%,545
Nasus,47.08%,531
Sion,55.13%,526
Gangplank,47.05%,474
Volibear,48.50%,468
Riven,50.11%,435
Rumble,52.17%,391
Shen,50.00%,382
Jayce,52.02%,371
Gwen,49.73%,366
Gnar,47.06%,357
Irelia,46.70%,349
Yorick,51.76%,340
Poppy,43.47%,329
Akali,44.97%,318
Teemo,51.12%,313
Kayle,43.85%,301
Tryndamere,46.18%,301
Pantheon,49.83%,295
Urgot,48.81%,293
Dr. Mundo,58.25%,285
Cho'Gath,52.26%,266
Singed,46.01%,213
Kled,48.79%,207
Yasuo,56.18%,178
Kennen,44.65%,159
Sylas,44.03%,159
Warwick,46.41%,153
Vayne,49.66%,149
Trundle,50.47%,107
Quinn,46.08%,102
Maokai,50.00%,98
Gragas,48.98%,98
Naafiri,53.13%,96
Rengar,34.74%,95
Vladimir,58.51%,94
Zac,54.26%,94
Udyr,51.16%,86
Swain,46.43%,84
Wukong,50.00%,78
Zed,50.00%,76
Akshan,44.12%,68
Briar,50.00%,66
