K'Sante,51.67%,418
Aatrox,53.07%,358
Garen,48.51%,268
Jax,46.30%,257
Darius,52.27%,220
Yone,51.82%,220
Renekton,53.73%,201
Malphite,46.25%,160
Jayce,57.34%,143
Riven,41.30%,138
Fiora,47.45%,137
Gangplank,57.04%,135
Ornn,56.82%,132
Camille,50.00%,126
Nasus,43.44%,122
Rumble,59.32%,118
Illaoi,50.00%,118
Sett,50.86%,116
Akali,58.41%,113
Sion,53.21%,109
Irelia,38.89%,108
Mordekaiser,46.88%,96
Teemo,52.69%,93
Tahm Kench,48.28%,87
Gwen,54.65%,86
Gnar,60.26%,78
Kayle,51.32%,76
Olaf,50.67%,75
Pantheon,46.38%,69
Volibear,52.17%,69
Tryndamere,45.59%,68
Shen,52.46%,61
Urgot,50.85%,59
Dr. Mundo,69.49%,59
Singed,55.36%,56
Yorick,51.92%,52
Sylas,60.78%,51
Cho'Gath,54.00%,50
Poppy,52.17%,46
Yasuo,51.11%,45
Kled,46.67%,45
Quinn,48.78%,41
Gragas,56.41%,39
Vladimir,48.39%,31
Vayne,29.03%,31
Zed,48.39%,31
