K'Sante,50.28%,"2,339"
Garen,47.30%,"1,795"
Aatrox,49.13%,"1,490"
Darius,49.71%,"1,390"
Renekton,56.41%,"1,225"
Jax,53.08%,"1,219"
Yone,50.13%,"1,181"
Fiora,53.75%,"1,027"
Jayce,57.96%,904
Camille,47.13%,872
Malphite,52.02%,842
Illaoi,47.79%,816
Kayle,51.72%,756
Gangplank,52.50%,699
Ornn,49.86%,692
Sett,50.62%,648
Gnar,53.71%,620
Tahm Kench,43.49%,591
Gwen,45.57%,564
Volibear,50.28%,537
Mordekaiser,52.80%,536
Riven,51.03%,535
Dr. Mundo,57.20%,521
Sion,52.32%,518
Singed,46.59%,513
Tryndamere,52.66%,507
Rumble,51.52%,493
Irelia,56.14%,472
Olaf,50.43%,468
Akali,55.43%,451
Teemo,49.51%,406
Poppy,51.16%,387
Kennen,55.37%,363
Yorick,48.96%,335
Pantheon,49.25%,333
Urgot,51.10%,317
Cho'Gath,55.59%,313
Shen,49.83%,297
Quinn,55.41%,296
Yasuo,60.22%,269
Sylas,51.61%,248
Vayne,54.85%,237
Trundle,56.92%,195
Maokai,52.31%,195
Vladimir,58.33%,192
Kled,48.11%,185
Warwick,55.43%,184
Gragas,50.00%,152
Zac,43.54%,147
Rengar,48.51%,134
Udyr,51.20%,125
Naafiri,56.56%,122
Akshan,54.17%,120
Zed,58.62%,116
Briar,61.62%,99
Swain,55.79%,95
Wukong,45.98%,87
