K'Sante,49.06%,"2,067"
Aatrox,50.10%,"1,491"
Darius,53.11%,"1,433"
Renekton,56.06%,"1,354"
Garen,51.31%,"1,335"
Jax,49.68%,"1,258"
Yone,50.63%,"1,120"
Camille,50.99%,912
Fiora,48.58%,883
Malphite,58.06%,751
Gwen,49.73%,740
Jayce,55.79%,699
Illaoi,51.50%,635
Sett,52.39%,628
Mordekaiser,51.39%,611
Rumble,57.00%,607
Nasus,51.89%,582
Gangplank,52.92%,565
Riven,50.89%,562
Sion,52.20%,523
Gnar,51.06%,519
Volibear,51.89%,476
Tahm Kench,49.88%,433
Olaf,46.93%,424
Pantheon,55.16%,417
Irelia,51.79%,392
Kayle,51.54%,390
Dr. Mundo,51.75%,371
Poppy,50.00%,344
Teemo,58.88%,338
Tryndamere,48.76%,322
Akali,55.21%,317
Urgot,48.94%,282
Shen,47.33%,281
Singed,48.75%,279
Cho'Gath,56.40%,250
Sylas,53.25%,246
Yorick,49.36%,233
Kled,55.71%,219
Yasuo,60.49%,205
Vayne,54.23%,201
Kennen,48.59%,177
Quinn,50.85%,177
Warwick,47.70%,174
Zac,48.47%,163
Gragas,54.61%,152
Rengar,50.68%,146
Vladimir,59.72%,144
Trundle,56.93%,137
Maokai,59.23%,130
Udyr,56.92%,130
Akshan,42.11%,114
Naafiri,44.55%,110
Zed,50.46%,109
Swain,52.27%,88
Wukong,54.76%,84
