K'Sante,49.09%,"1,381"
Aatrox,50.12%,"1,217"
Jax,54.30%,"1,140"
Yone,54.28%,993
Garen,49.56%,908
Darius,47.61%,880
Renekton,52.58%,854
Malphite,45.37%,659
Fiora,49.19%,555
Jayce,51.13%,530
Camille,45.85%,506
Ornn,44.97%,487
Gangplank,50.45%,442
Riven,53.17%,442
Sett,50.84%,419
Illaoi,47.41%,386
Irelia,49.74%,378
Rumble,50.00%,344
Sion,47.46%,335
Nasus,50.60%,332
Gnar,53.14%,318
Tahm Kench,46.80%,297
Mordekaiser,50.34%,294
Volibear,47.42%,291
Akali,55.75%,287
Gwen,47.43%,272
Kayle,46.69%,257
Poppy,47.39%,249
Tryndamere,48.09%,235
Olaf,52.79%,233
Teemo,56.52%,207
Dr. Mundo,53.62%,207
Quinn,47.50%,200
Shen,50.77%,195
Yasuo,49.74%,193
Urgot,51.11%,180
Yorick,51.16%,172
Kennen,51.46%,171
Kled,51.79%,168
Cho'Gath,48.19%,166
Singed,41.56%,154
Vayne,45.97%,124
Sylas,47.54%,122
Akshan,53.51%,114
Gragas,48.67%,113
Warwick,55.86%,111
Vladimir,53.92%,102
Rengar,46.51%,86
Zed,47.50%,80
Zac,49.35%,77
Udyr,56.16%,73
Maokai,47.14%,70
Naafiri,53.62%,69
Trundle,38.24%,68
Swain,48.48%,66
Wukong,55.93%,59
Briar,67.80%,59
