K'Sante,51.79%,"1,315"
Jax,50.94%,"1,009"
Aatrox,53.63%,882
Yone,55.78%,631
Garen,48.87%,620
Renekton,56.10%,615
Fiora,52.60%,557
Darius,51.29%,544
Riven,52.86%,490
Camille,51.04%,482
Jayce,59.56%,413
Ornn,50.00%,344
Nasus,47.81%,343
Irelia,52.34%,321
Sett,55.31%,320
Gangplank,48.39%,310
Malphite,48.52%,305
Rumble,56.01%,291
Gwen,59.52%,289
Illaoi,50.36%,280
Mordekaiser,55.43%,276
Akali,58.05%,267
Gnar,53.85%,260
Olaf,45.81%,227
Volibear,52.53%,217
Sion,46.89%,209
Pantheon,53.62%,207
Tahm Kench,49.75%,197
Kayle,46.94%,196
Tryndamere,54.10%,183
Dr. Mundo,51.72%,174
Shen,45.32%,139
Rengar,55.15%,136
Yasuo,58.87%,124
Kennen,50.41%,121
Urgot,38.14%,118
Teemo,44.92%,118
Quinn,44.25%,113
Cho'Gath,57.55%,106
Kled,50.48%,105
Yorick,44.00%,100
Sylas,58.33%,96
Singed,50.00%,90
Vladimir,44.94%,89
Gragas,51.69%,89
Maokai,43.68%,87
Zac,52.87%,87
Trundle,55.42%,83
Vayne,45.00%,80
Warwick,43.66%,71
Udyr,59.42%,69
Akshan,54.90%,51
Zed,52.00%,50
Wukong,42.86%,49
Naafiri,46.34%,41
Swain,54.29%,35
