K'Sante,46.35%,589
Jax,54.14%,543
Garen,53.70%,514
Aatrox,50.31%,479
Darius,55.41%,453
Renekton,56.54%,451
Yone,56.76%,414
Malphite,48.87%,399
Jayce,52.91%,378
Fiora,51.95%,256
Nasus,46.03%,252
Irelia,48.61%,251
Gangplank,54.18%,251
Camille,49.32%,221
Gnar,52.15%,209
Rumble,56.63%,196
Ornn,49.15%,177
Riven,55.11%,176
Pantheon,53.45%,174
Sett,51.74%,172
Sion,50.90%,167
Teemo,43.48%,161
Illaoi,55.84%,154
Akali,54.05%,148
Tryndamere,46.21%,145
Yasuo,50.00%,124
Dr. Mundo,43.90%,123
Tahm Kench,49.59%,123
Olaf,45.45%,121
Gwen,52.63%,114
Poppy,56.25%,112
Kennen,47.32%,112
Kayle,50.47%,107
Volibear,54.08%,98
Cho'Gath,54.17%,96
Mordekaiser,54.95%,91
Singed,40.48%,84
Urgot,48.78%,82
Shen,46.91%,81
Vayne,45.45%,77
Kled,37.33%,75
Gragas,46.97%,66
Maokai,50.77%,65
Yorick,47.69%,65
Akshan,58.46%,65
Vladimir,51.67%,60
Rengar,48.15%,54
Sylas,64.15%,53
Zed,57.89%,38
Udyr,45.95%,37
Zac,45.95%,37
Warwick,45.71%,35
Wukong,47.06%,34
Naafiri,48.48%,33
