K'Sante,48.39%,"4,226"
Aatrox,47.16%,"3,927"
Jax,47.47%,"3,318"
Yone,54.52%,"2,812"
Darius,47.43%,"2,492"
Garen,46.90%,"2,192"
Camille,49.68%,"1,574"
Fiora,50.40%,"1,514"
Ornn,43.90%,"1,353"
Riven,55.57%,"1,346"
Jayce,51.07%,"1,308"
Malphite,46.92%,"1,232"
Sett,51.86%,"1,180"
Illaoi,42.58%,"1,165"
Irelia,50.76%,"1,048"
Rumble,48.47%,"1,044"
Nasus,42.95%,"1,036"
Gnar,49.80%,986
Gangplank,46.93%,976
Mordekaiser,48.20%,917
Volibear,49.16%,895
Akali,52.08%,866
Gwen,44.54%,797
Pantheon,47.62%,756
Tahm Kench,44.58%,738
Yasuo,54.07%,651
Sion,50.79%,636
Poppy,43.95%,612
Olaf,47.99%,598
Kayle,45.70%,582
Dr. Mundo,44.59%,536
Tryndamere,46.26%,508
Quinn,43.46%,451
Kled,46.88%,448
Yorick,54.59%,436
Shen,49.88%,425
Teemo,45.52%,413
Urgot,45.72%,409
Cho'Gath,43.81%,404
Singed,41.47%,381
Kennen,48.94%,376
Sylas,44.79%,355
Vayne,44.20%,319
Rengar,48.71%,310
Warwick,51.94%,283
Gragas,52.52%,278
Maokai,46.09%,230
Zac,42.17%,230
Vladimir,46.15%,221
Udyr,50.99%,202
Zed,53.16%,190
Wukong,54.10%,183
Trundle,48.89%,180
Naafiri,47.09%,172
Akshan,47.27%,165
Swain,45.16%,124
