K'Sante,48.06%,695
Jax,52.06%,509
Aatrox,50.22%,462
Renekton,50.14%,367
Yone,52.87%,348
Garen,51.84%,326
Malphite,43.48%,276
Darius,46.18%,249
Jayce,51.88%,239
Gangplank,50.94%,212
Fiora,50.24%,211
Sett,49.74%,195
Camille,48.65%,185
Tahm Kench,43.75%,176
Rumble,47.90%,167
Ornn,51.25%,160
Illaoi,47.13%,157
Poppy,44.30%,149
Volibear,55.32%,141
Irelia,55.71%,140
Nasus,51.49%,134
Riven,39.85%,133
Akali,60.77%,130
Gnar,61.34%,119
Trundle,57.26%,117
Kayle,51.72%,116
Sion,49.54%,109
Tryndamere,42.99%,107
Dr. Mundo,59.14%,93
Mordekaiser,65.59%,93
Gwen,61.96%,92
Olaf,52.22%,90
Pantheon,53.49%,86
Maokai,46.43%,84
Urgot,56.25%,80
Teemo,38.96%,77
Kled,49.33%,75
Shen,59.15%,71
Yasuo,55.88%,68
Udyr,52.24%,67
Singed,48.44%,64
Kennen,55.74%,61
Zac,42.62%,61
Warwick,45.76%,59
Quinn,52.63%,57
Yorick,58.18%,55
Cho'Gath,45.10%,51
Gragas,59.57%,47
Vladimir,63.41%,41
Sylas,46.34%,41
Vayne,56.67%,30
