K'Sante,51.06%,"2,350"
Garen,51.34%,"1,720"
Renekton,44.18%,"1,607"
Aatrox,48.39%,"1,548"
Jax,49.80%,"1,522"
Darius,49.39%,"1,387"
Yone,55.29%,"1,228"
Fiora,51.95%,"1,076"
Malphite,46.59%,"1,071"
Camille,48.50%,864
Sett,52.61%,690
Gangplank,53.35%,671
Ornn,49.70%,668
Jayce,53.38%,665
Illaoi,45.54%,628
Poppy,44.85%,573
Irelia,51.93%,543
Nasus,49.06%,532
Sion,54.00%,487
Volibear,47.36%,473
Rumble,53.95%,443
Pantheon,46.83%,442
Mordekaiser,50.00%,434
Gnar,53.13%,431
Tahm Kench,51.57%,413
Akali,53.95%,380
Gwen,53.78%,370
Kayle,48.76%,363
Tryndamere,46.31%,352
Olaf,50.61%,330
Shen,51.85%,324
Urgot,49.50%,301
Singed,48.17%,301
Teemo,52.22%,293
Cho'Gath,47.92%,288
Yasuo,49.62%,264
Kled,52.09%,263
Dr. Mundo,57.47%,261
Kennen,48.84%,258
Gragas,44.21%,233
Quinn,43.66%,213
Yorick,55.24%,210
Warwick,46.24%,186
Vladimir,54.29%,140
Sylas,52.86%,140
Naafiri,59.12%,137
Rengar,60.15%,133
Maokai,46.28%,121
Wukong,46.67%,120
Briar,57.98%,119
Udyr,52.99%,117
Vayne,50.48%,105
Trundle,50.00%,104
Zac,53.13%,96
Zed,60.42%,96
Akshan,46.67%,90
Swain,46.67%,75
