K'Sante,47.88%,"1,959"
Aatrox,47.70%,"1,501"
Jax,46.51%,"1,088"
Renekton,51.44%,"1,044"
Yone,48.37%,949
Garen,49.73%,927
Jayce,49.12%,849
Darius,48.34%,842
Malphite,49.46%,643
Ornn,43.09%,608
Fiora,45.95%,605
Irelia,46.15%,598
Camille,48.76%,523
Gnar,45.03%,513
Gangplank,49.60%,500
Sett,45.93%,455
Nasus,47.95%,440
Sion,46.85%,397
Akali,47.06%,391
Riven,48.81%,377
Illaoi,49.87%,377
Tahm Kench,43.88%,376
Olaf,47.14%,350
Tryndamere,48.68%,341
Mordekaiser,49.55%,337
Volibear,54.55%,308
Teemo,50.51%,295
Pantheon,50.86%,291
Poppy,44.14%,290
Dr. Mundo,54.41%,272
Sylas,42.80%,264
Kennen,50.19%,263
Kayle,48.46%,260
Gwen,49.00%,251
Shen,46.03%,239
Yasuo,45.62%,217
Yorick,48.76%,201
Urgot,48.50%,200
Quinn,43.08%,195
Singed,43.01%,193
Kled,49.16%,179
Cho'Gath,46.29%,175
Akshan,40.00%,165
Rengar,51.37%,146
Maokai,50.00%,128
Gragas,49.21%,126
Udyr,55.28%,123
Vayne,46.55%,116
Warwick,50.44%,113
Zac,43.69%,103
Naafiri,37.62%,101
Vladimir,52.69%,93
Zed,45.88%,85
Wukong,53.75%,80
Trundle,56.00%,75
Swain,49.12%,57
