K'Sante,49.65%,"2,586"
Darius,50.57%,"2,025"
Aatrox,47.15%,"1,932"
Garen,49.34%,"1,735"
Jax,47.03%,"1,548"
Yone,55.20%,"1,482"
Renekton,48.30%,"1,414"
Fiora,47.84%,926
Malphite,44.46%,893
Irelia,55.89%,866
Camille,48.64%,845
Ornn,47.45%,746
Volibear,46.10%,744
Illaoi,50.21%,723
Sion,50.07%,695
Riven,47.54%,690
Gangplank,49.47%,661
Nasus,49.31%,649
Mordekaiser,49.05%,634
Gnar,44.28%,621
Jayce,52.59%,618
Tahm Kench,50.58%,601
Rumble,54.73%,550
Gwen,47.85%,535
Tryndamere,44.90%,461
Pantheon,49.28%,418
Olaf,49.13%,401
Kayle,47.73%,396
Akali,54.99%,391
Poppy,43.97%,373
Shen,50.40%,371
Cho'Gath,50.14%,361
Dr. Mundo,52.77%,343
Kled,44.33%,300
Singed,44.82%,299
Teemo,50.34%,296
Urgot,49.82%,273
Yorick,55.19%,270
Yasuo,53.88%,258
Kennen,47.01%,234
Quinn,50.75%,201
Sylas,47.98%,198
Rengar,50.00%,196
Vayne,49.21%,191
Warwick,49.70%,167
Trundle,46.11%,167
Gragas,52.29%,153
Zac,45.75%,153
Maokai,51.47%,136
Udyr,58.82%,136
Briar,49.18%,122
Naafiri,48.72%,117
Zed,45.54%,112
Vladimir,58.49%,106
Akshan,53.77%,106
Swain,49.52%,105
Wukong,47.12%,104
