K'Sante,51.20%,"1,211"
Jax,56.04%,762
Aatrox,54.16%,757
Garen,53.05%,737
Yone,53.93%,623
Darius,49.74%,571
Nasus,53.70%,514
Renekton,57.79%,443
Camille,50.00%,410
Fiora,51.91%,366
Sion,53.59%,334
Kayle,46.93%,326
Gangplank,43.03%,323
Ornn,50.96%,314
Riven,51.83%,301
Sett,55.03%,298
Jayce,52.14%,280
Gnar,52.34%,256
Malphite,55.95%,252
Irelia,56.15%,244
Illaoi,51.72%,232
Rumble,56.11%,221
Mordekaiser,53.99%,213
Tryndamere,60.77%,209
Tahm Kench,54.59%,207
Gwen,53.97%,189
Volibear,52.97%,185
Akali,54.89%,184
Dr. Mundo,52.57%,175
Olaf,53.49%,172
Teemo,42.35%,170
Yorick,51.18%,170
Cho'Gath,47.13%,157
Pantheon,58.71%,155
Urgot,50.00%,152
Shen,50.34%,147
Yasuo,54.10%,122
Poppy,50.00%,112
Kled,57.43%,101
Quinn,56.57%,99
Vayne,43.16%,95
Vladimir,55.06%,89
Sylas,45.12%,82
Kennen,49.38%,81
Udyr,59.74%,77
Warwick,52.70%,74
Trundle,70.15%,67
Gragas,62.69%,67
Zac,52.24%,67
Rengar,51.56%,64
Maokai,48.33%,60
Naafiri,44.64%,56
Akshan,56.36%,55
Zed,55.77%,52
Wukong,48.94%,47
Briar,54.55%,44
Swain,43.59%,39
