K'Sante,48.15%,"1,377"
Aatrox,41.01%,"1,168"
Garen,51.54%,"1,040"
Darius,46.79%,"1,013"
Jax,49.68%,942
Yone,47.27%,899
Malphite,49.93%,741
Gwen,43.30%,709
Fiora,45.98%,659
Camille,44.38%,649
Renekton,49.06%,636
Sett,48.56%,591
Gangplank,52.41%,540
Jayce,51.02%,539
Ornn,47.81%,525
Illaoi,51.53%,522
Mordekaiser,45.27%,455
Nasus,47.44%,430
Riven,46.17%,405
Rumble,53.15%,397
Irelia,46.98%,364
Volibear,50.00%,362
Teemo,50.14%,357
Tahm Kench,45.51%,356
Gnar,46.97%,330
Kayle,46.15%,299
Cho'Gath,53.20%,297
Pantheon,53.79%,290
Tryndamere,44.44%,279
Singed,44.44%,279
Akali,46.35%,274
Urgot,50.00%,272
Dr. Mundo,49.81%,269
Yorick,51.52%,264
Shen,47.01%,251
Olaf,46.70%,227
Poppy,53.37%,208
Yasuo,52.72%,184
Kennen,50.00%,168
Quinn,49.40%,168
Vayne,50.33%,151
Kled,43.84%,146
Gragas,61.54%,143
Sylas,50.36%,139
Trundle,49.17%,120
Zed,42.86%,98
Maokai,48.45%,97
Vladimir,52.08%,96
Rengar,47.92%,96
Udyr,43.62%,94
Warwick,54.84%,93
Zac,47.19%,89
Akshan,43.53%,85
Naafiri,52.38%,84
Swain,48.05%,77
Wukong,45.76%,59
