K'Sante,53.30%,364
Aatrox,55.60%,241
Garen,51.79%,224
Jax,43.98%,191
Darius,48.95%,190
Yone,45.68%,162
Renekton,51.66%,151
Malphite,56.25%,128
Fiora,50.44%,113
Illaoi,55.96%,109
Sett,50.48%,105
Ornn,46.53%,101
Camille,41.24%,97
Sion,54.17%,96
Tahm Kench,51.04%,96
Nasus,44.21%,95
Irelia,43.01%,93
Jayce,52.75%,91
Gangplank,56.67%,90
Mordekaiser,53.57%,84
Gnar,46.34%,82
Riven,53.33%,75
Volibear,56.16%,73
Akali,46.27%,67
Kayle,51.52%,66
Pantheon,51.52%,66
Dr. Mundo,55.38%,65
Rumble,53.85%,65
Olaf,52.46%,61
Sylas,38.98%,59
Gwen,38.18%,55
Tryndamere,38.89%,54
Teemo,51.02%,49
Shen,59.18%,49
Yasuo,58.70%,46
Urgot,50.00%,42
Singed,56.41%,39
Kennen,61.54%,39
Yorick,44.74%,38
Poppy,45.71%,35
Cho'Gath,45.45%,33
Kled,36.36%,33
Quinn,48.39%,31
Zed,36.67%,30
