Malphite,55.68%,"1,259"
K'Sante,46.62%,592
Aatrox,44.17%,480
Renekton,55.34%,356
Jax,44.92%,354
Yone,50.59%,340
Garen,46.93%,326
Jayce,43.67%,300
Gnar,53.33%,285
Rumble,57.20%,264
Akali,51.36%,257
Darius,44.36%,257
Ornn,46.72%,244
Nasus,49.06%,212
Fiora,51.94%,206
Irelia,43.09%,188
Sett,51.46%,171
Gangplank,52.53%,158
Illaoi,43.79%,153
Camille,43.42%,152
Kayle,49.66%,147
Mordekaiser,56.74%,141
Sion,49.64%,139
Riven,47.24%,127
Kennen,54.76%,126
Yasuo,46.03%,126
Shen,54.40%,125
Volibear,49.58%,119
Cho'Gath,46.43%,112
Tahm Kench,47.71%,109
Tryndamere,45.79%,107
Pantheon,52.88%,104
Dr. Mundo,57.58%,99
Gwen,39.39%,99
Poppy,41.24%,97
Olaf,35.79%,95
Singed,54.79%,73
Kled,34.25%,73
Urgot,41.18%,68
Teemo,52.94%,68
Maokai,50.77%,65
Vladimir,43.10%,58
Zac,34.48%,58
Yorick,56.14%,57
Gragas,43.64%,55
Zed,54.55%,55
Quinn,35.85%,53
Swain,62.00%,50
Naafiri,41.67%,48
Trundle,39.47%,38
Rengar,48.65%,37
Akshan,37.84%,37
Warwick,47.06%,34
Udyr,54.84%,31
