K'Sante,51.57%,"1,751"
Garen,56.10%,"1,132"
Jax,50.55%,993
Aatrox,49.64%,973
Darius,53.56%,885
Yone,54.51%,765
Renekton,55.56%,738
Fiora,46.94%,637
Camille,50.38%,524
Nasus,57.92%,480
Sett,48.13%,480
Gwen,51.61%,467
Malphite,54.19%,465
Illaoi,47.70%,457
Gangplank,55.23%,440
Mordekaiser,55.20%,433
Ornn,50.00%,432
Jayce,57.66%,418
Volibear,49.21%,382
Rumble,56.12%,376
Sion,54.78%,356
Gnar,52.72%,349
Tryndamere,57.54%,325
Riven,49.54%,323
Olaf,49.13%,287
Irelia,45.74%,258
Teemo,54.80%,250
Kayle,50.81%,248
Dr. Mundo,57.44%,242
Pantheon,53.14%,239
Shen,45.93%,209
Yorick,56.25%,208
Akali,51.00%,200
Poppy,50.51%,196
Urgot,50.00%,180
Cho'Gath,60.80%,176
Singed,46.67%,150
Vayne,50.68%,148
Rengar,58.74%,143
Kled,50.00%,140
Yasuo,53.28%,137
Kennen,58.91%,129
Quinn,50.41%,123
Warwick,54.46%,112
Sylas,51.82%,110
Maokai,55.21%,96
Gragas,53.13%,96
Trundle,62.77%,94
Udyr,57.14%,84
Zac,50.00%,82
Swain,52.05%,73
Vladimir,55.71%,70
Akshan,57.14%,70
Zed,57.35%,68
Wukong,67.16%,67
Naafiri,49.25%,67
