K'Sante,45.62%,537
Jax,44.48%,326
Aatrox,47.74%,310
Garen,48.99%,296
Yone,41.99%,281
Darius,49.22%,258
Renekton,51.67%,209
Nasus,43.08%,195
Fiora,43.62%,188
Sett,54.44%,169
Malphite,41.67%,168
Irelia,47.85%,163
Ornn,43.31%,157
Olaf,53.10%,145
Sion,50.69%,144
Illaoi,47.06%,136
Camille,53.03%,132
Volibear,50.00%,128
Tahm Kench,37.82%,119
Gangplank,50.85%,118
Gwen,46.61%,118
Rengar,42.61%,115
Dr. Mundo,40.18%,112
Mordekaiser,49.06%,106
Riven,50.00%,104
Gnar,43.69%,103
Jayce,47.96%,98
Poppy,41.05%,95
Shen,37.65%,85
Tryndamere,54.22%,83
Rumble,41.25%,80
Kayle,46.84%,79
Akali,50.63%,79
Pantheon,61.76%,68
Singed,29.85%,67
Cho'Gath,50.75%,67
Yorick,55.36%,56
Urgot,37.04%,54
Kled,50.98%,51
Teemo,45.65%,46
Yasuo,53.33%,45
Sylas,57.14%,42
Warwick,58.54%,41
Zac,38.24%,34
Maokai,28.13%,32
Quinn,35.48%,31
Udyr,53.33%,30
Gragas,40.00%,30
