Jax,48.76%,"1,290"
K'Sante,47.44%,"1,269"
Garen,52.38%,"1,092"
Aatrox,50.53%,950
Malphite,45.90%,915
Yone,51.09%,779
Darius,49.09%,713
Gangplank,56.03%,655
Renekton,52.32%,604
Fiora,50.77%,583
Jayce,52.78%,540
Nasus,47.23%,506
Sett,54.98%,462
Camille,45.73%,457
Illaoi,50.45%,448
Tahm Kench,43.70%,405
Rumble,52.62%,401
Irelia,52.09%,359
Ornn,49.58%,359
Riven,53.69%,352
Volibear,49.85%,325
Sion,53.92%,319
Gwen,47.59%,311
Mordekaiser,53.82%,301
Olaf,56.67%,300
Kayle,50.00%,298
Gnar,48.75%,279
Akali,50.00%,278
Yorick,56.97%,244
Pantheon,52.12%,236
Teemo,49.09%,220
Poppy,45.54%,213
Singed,39.05%,210
Dr. Mundo,56.10%,205
Urgot,55.28%,199
Shen,47.42%,194
Quinn,52.44%,164
Yasuo,49.69%,163
Cho'Gath,48.03%,152
Kennen,53.29%,152
Warwick,47.22%,144
Kled,48.12%,133
Sylas,54.84%,124
Rengar,57.01%,107
Gragas,47.87%,94
Vayne,46.24%,93
Vladimir,51.69%,89
Trundle,45.78%,83
Maokai,49.38%,81
Udyr,50.62%,81
Akshan,59.72%,72
Naafiri,54.41%,68
Zed,52.24%,67
Wukong,50.79%,63
Zac,50.00%,60
Briar,45.61%,57
Swain,61.11%,54
