K'Sante,51.83%,629
Aatrox,53.41%,425
Garen,56.89%,334
Jax,46.50%,314
Darius,44.91%,265
Yone,51.61%,248
Renekton,49.80%,247
Fiora,50.45%,224
Camille,45.86%,157
Jayce,46.45%,155
Gangplank,55.41%,148
Ornn,42.57%,148
Rumble,46.21%,145
Illaoi,51.05%,143
Sett,41.18%,136
Malphite,54.14%,133
Volibear,48.44%,128
Nasus,48.80%,125
Gnar,40.50%,121
Gwen,48.31%,118
Riven,46.55%,116
Sion,59.29%,113
Irelia,47.32%,112
Tahm Kench,43.56%,101
Kayle,42.71%,96
Dr. Mundo,55.91%,93
Olaf,45.45%,88
Mordekaiser,47.62%,84
Tryndamere,49.38%,81
Poppy,39.51%,81
Akali,48.72%,78
Singed,40.26%,77
Pantheon,43.84%,73
Rengar,47.06%,68
Shen,60.61%,66
Yorick,49.23%,65
Urgot,39.68%,63
Teemo,38.33%,60
Yasuo,60.34%,58
Cho'Gath,56.60%,53
Zac,37.74%,53
Kled,58.70%,46
Kennen,40.00%,45
Quinn,53.85%,39
Warwick,44.74%,38
Vayne,48.57%,35
Sylas,45.71%,35
Maokai,45.16%,31
Trundle,46.67%,30
