K'Sante,48.52%,983
Aatrox,50.34%,737
Jax,50.88%,627
Garen,51.19%,588
Darius,51.68%,567
Yone,53.45%,507
Fiora,49.76%,410
Renekton,54.28%,409
Camille,46.04%,341
Jayce,52.63%,304
Gangplank,51.36%,294
Ornn,51.06%,282
Nasus,48.55%,276
Malphite,47.64%,275
Sion,49.64%,274
Gnar,44.53%,265
Illaoi,48.26%,259
Mordekaiser,50.59%,255
Riven,51.41%,249
Sett,52.30%,239
Kayle,43.95%,223
Olaf,47.57%,206
Rumble,51.76%,199
Irelia,56.32%,190
Volibear,45.21%,188
Tahm Kench,50.00%,180
Dr. Mundo,52.81%,178
Tryndamere,41.04%,173
Akali,58.33%,168
Gwen,50.30%,167
Pantheon,48.41%,157
Singed,49.26%,136
Yorick,47.01%,134
Teemo,44.88%,127
Cho'Gath,51.22%,123
Shen,54.47%,123
Poppy,62.39%,117
Kennen,44.55%,110
Vayne,50.96%,104
Yasuo,53.61%,97
Quinn,51.22%,82
Kled,47.44%,78
Warwick,46.58%,73
Rengar,43.48%,69
Maokai,38.24%,68
Sylas,58.82%,68
Gragas,54.39%,57
Akshan,50.88%,57
Udyr,61.82%,55
Vladimir,55.56%,54
Naafiri,53.06%,49
Zac,47.92%,48
Trundle,61.70%,47
Zed,48.78%,41
Swain,45.95%,37
Wukong,54.29%,35
