K'Sante,54.97%,"1,077"
Darius,53.17%,521
Aatrox,52.41%,519
Garen,52.67%,486
Renekton,55.80%,319
Jax,48.00%,300
Malphite,43.27%,275
Yone,53.97%,252
Fiora,55.69%,246
Illaoi,56.58%,228
Jayce,48.58%,212
Nasus,45.97%,211
Ornn,45.54%,202
Irelia,51.19%,168
Camille,51.50%,167
Sett,49.69%,161
Sion,49.67%,151
Teemo,39.07%,151
Tahm Kench,49.32%,148
Gnar,54.84%,124
Mordekaiser,51.22%,123
Akali,52.10%,119
Dr. Mundo,52.54%,118
Olaf,56.41%,117
Rumble,53.45%,116
Volibear,62.61%,115
Pantheon,52.73%,110
Urgot,49.04%,104
Gangplank,49.02%,102
Yasuo,41.67%,96
Kayle,52.69%,93
Riven,52.22%,90
Shen,59.30%,86
Kennen,51.81%,83
Singed,56.10%,82
Tryndamere,56.79%,81
Cho'Gath,59.26%,81
Poppy,55.00%,80
Quinn,54.55%,77
Kled,56.52%,69
Gwen,53.85%,65
Akshan,48.33%,60
Yorick,44.83%,58
Vladimir,43.40%,53
Warwick,52.38%,42
Gragas,63.41%,41
Zac,51.43%,35
Zed,54.29%,35
