K'Sante,52.54%,590
Jax,54.28%,514
Aatrox,52.44%,328
Yone,56.00%,325
Garen,56.55%,313
Renekton,52.03%,271
Gangplank,53.39%,251
Fiora,51.00%,251
Darius,46.02%,226
Jayce,45.91%,220
Malphite,56.10%,205
Nasus,41.67%,192
Camille,48.68%,189
Irelia,46.07%,178
Teemo,48.77%,162
Ornn,39.38%,160
Riven,45.71%,140
Akali,52.90%,138
Gnar,48.48%,132
Sion,46.02%,113
Sett,41.67%,108
Rumble,46.60%,103
Pantheon,45.63%,103
Gwen,52.48%,101
Poppy,55.67%,97
Mordekaiser,41.49%,94
Illaoi,46.81%,94
Tahm Kench,46.67%,90
Tryndamere,48.31%,89
Singed,44.94%,89
Kayle,48.86%,88
Yasuo,54.22%,83
Olaf,48.75%,80
Volibear,56.25%,80
Kennen,50.00%,74
Dr. Mundo,52.78%,72
Sylas,55.07%,69
Yorick,52.24%,67
Quinn,46.15%,65
Vayne,48.44%,64
Shen,43.55%,62
Urgot,45.00%,60
Cho'Gath,45.61%,57
Kled,50.00%,46
Akshan,51.16%,43
Rengar,36.59%,41
Zed,46.34%,41
Maokai,48.48%,33
Zac,51.52%,33
Gragas,45.16%,31
Naafiri,51.61%,31
