K'Sante,50.57%,"1,847"
Garen,48.78%,"1,189"
Aatrox,47.94%,"1,189"
Darius,47.77%,"1,122"
Jax,46.82%,"1,085"
Renekton,51.16%,"1,038"
Yone,49.70%,835
Sett,53.83%,745
Camille,49.68%,630
Fiora,45.97%,596
Ornn,47.96%,563
Illaoi,45.85%,554
Nasus,49.72%,537
Irelia,55.17%,484
Tahm Kench,51.25%,480
Mordekaiser,51.59%,471
Riven,52.44%,471
Malphite,51.22%,451
Sion,50.23%,438
Gnar,46.47%,411
Jayce,49.25%,398
Gangplank,55.41%,379
Rumble,44.84%,368
Gwen,49.28%,345
Tryndamere,50.00%,324
Kayle,42.22%,315
Olaf,49.18%,305
Dr. Mundo,46.67%,300
Pantheon,52.74%,292
Shen,50.18%,277
Akali,54.71%,276
Poppy,47.43%,253
Cho'Gath,46.96%,230
Yorick,55.02%,229
Urgot,52.42%,227
Teemo,46.15%,221
Kled,46.26%,214
Singed,46.77%,186
Yasuo,54.60%,174
Warwick,55.24%,143
Rengar,44.68%,141
Kennen,48.89%,135
Sylas,50.00%,134
Udyr,51.56%,128
Trundle,50.79%,126
Vayne,37.10%,124
Quinn,46.55%,116
Zac,45.63%,103
Gragas,55.21%,96
Wukong,56.79%,81
Vladimir,44.30%,79
Zed,44.16%,77
Maokai,44.00%,75
Swain,43.06%,72
Naafiri,47.83%,69
Briar,41.54%,65
Akshan,43.33%,60
