K'Sante,50.24%,617
Aatrox,50.79%,445
Garen,44.93%,345
Yone,48.41%,314
Darius,46.74%,291
Renekton,48.06%,283
Fiora,48.19%,276
Jax,48.33%,269
Camille,48.39%,217
Ornn,52.30%,174
Gangplank,46.95%,164
Malphite,46.95%,164
Riven,55.28%,161
Nasus,43.95%,157
Gwen,53.33%,150
Irelia,51.03%,145
Sett,50.35%,141
Jayce,53.62%,138
Mordekaiser,54.69%,128
Tryndamere,51.97%,127
Illaoi,47.20%,125
Volibear,48.76%,121
Rumble,49.11%,112
Tahm Kench,45.95%,111
Olaf,40.19%,107
Akali,52.34%,107
Gnar,46.46%,99
Pantheon,45.92%,98
Kayle,50.52%,97
Sion,45.16%,93
Dr. Mundo,48.28%,87
Urgot,54.17%,72
Teemo,50.00%,72
Poppy,56.34%,71
Kled,52.31%,65
Shen,41.27%,63
Cho'Gath,41.67%,60
Singed,47.46%,59
Yorick,57.63%,59
Rengar,53.70%,54
Kennen,50.98%,51
Maokai,52.38%,42
Vayne,47.62%,42
Yasuo,45.24%,42
Zac,56.41%,39
Trundle,42.11%,38
Gragas,59.46%,37
Quinn,54.29%,35
Udyr,52.94%,34
Sylas,50.00%,32
