K'Sante,46.31%,"5,217"
Aatrox,50.26%,"3,914"
Jax,47.18%,"3,499"
Renekton,45.47%,"3,235"
Garen,47.65%,"2,726"
Darius,47.53%,"2,428"
Fiora,46.35%,"2,071"
Malphite,46.82%,"1,950"
Jayce,48.38%,"1,825"
Camille,46.72%,"1,494"
Sett,44.80%,"1,480"
Gangplank,46.53%,"1,440"
Irelia,46.45%,"1,354"
Ornn,49.77%,"1,294"
Akali,47.29%,"1,256"
Riven,44.75%,"1,229"
Nasus,49.79%,"1,181"
Illaoi,47.65%,"1,171"
Rumble,51.35%,"1,073"
Sion,52.31%,"1,040"
Pantheon,45.48%,996
Gnar,47.46%,984
Tahm Kench,47.67%,944
Volibear,50.36%,836
Yasuo,51.80%,832
Kayle,51.62%,804
Mordekaiser,53.36%,804
Gwen,51.37%,802
Tryndamere,48.84%,778
Olaf,48.09%,761
Poppy,43.87%,734
Dr. Mundo,51.98%,658
Singed,46.23%,623
Urgot,45.52%,569
Shen,47.71%,568
Yorick,55.35%,542
Cho'Gath,48.28%,524
Teemo,46.58%,511
Kennen,48.52%,472
Quinn,43.82%,461
Kled,49.34%,456
Sylas,48.98%,394
Warwick,50.82%,368
Rengar,47.26%,347
Vladimir,44.34%,327
Akshan,45.08%,315
Vayne,45.58%,294
Maokai,48.46%,293
Gragas,52.26%,287
Zac,46.83%,284
Trundle,58.01%,281
Udyr,48.19%,249
Zed,48.95%,237
Naafiri,47.95%,219
Briar,51.72%,203
Wukong,49.21%,191
Swain,54.32%,162
