K'Sante,49.69%,"1,139"
Jax,41.57%,801
Aatrox,48.79%,785
Darius,50.79%,632
Garen,49.67%,600
Yone,44.75%,543
Renekton,46.17%,509
Illaoi,49.55%,448
Malphite,43.01%,372
Irelia,42.31%,364
Gangplank,51.16%,344
Mordekaiser,48.39%,341
Nasus,51.04%,335
Jayce,50.96%,314
Fiora,49.36%,312
Sion,47.04%,304
Ornn,50.36%,278
Camille,44.61%,269
Sett,45.15%,268
Tahm Kench,44.15%,265
Gwen,49.62%,262
Tryndamere,43.03%,244
Gnar,43.51%,239
Rumble,50.85%,236
Kayle,49.78%,231
Volibear,44.98%,229
Riven,44.98%,209
Teemo,54.00%,200
Pantheon,48.55%,173
Olaf,46.47%,170
Singed,49.11%,169
Shen,40.24%,164
Urgot,51.92%,156
Dr. Mundo,50.00%,148
Akali,51.49%,134
Yasuo,44.35%,124
Cho'Gath,47.15%,123
Poppy,51.67%,120
Kennen,58.77%,114
Kled,47.96%,98
Quinn,50.00%,74
Warwick,43.48%,69
Sylas,47.06%,68
Vladimir,47.76%,67
Vayne,53.73%,67
Udyr,50.77%,65
Gragas,53.23%,62
Zac,40.00%,60
Trundle,44.64%,56
Rengar,42.86%,56
Naafiri,48.08%,52
Briar,37.25%,51
Maokai,42.00%,50
Wukong,43.75%,48
Akshan,51.22%,41
Zed,50.00%,40
Swain,55.26%,38
