K'Sante,48.33%,629
Aatrox,50.13%,379
Jax,52.99%,334
Yone,53.33%,285
Darius,50.55%,273
Renekton,55.19%,270
Garen,55.60%,259
Fiora,50.21%,233
Camille,53.66%,205
Ornn,51.37%,183
Malphite,54.29%,175
Jayce,59.76%,169
Illaoi,53.25%,169
Gangplank,56.55%,168
Sett,54.55%,154
Nasus,56.08%,148
Gwen,45.80%,131
Gnar,46.03%,126
Rumble,54.78%,115
Tahm Kench,49.11%,112
Sion,52.34%,107
Irelia,49.53%,107
Volibear,53.92%,102
Poppy,50.00%,100
Riven,46.88%,96
Mordekaiser,45.74%,94
Dr. Mundo,62.35%,85
Akali,60.24%,83
Olaf,47.56%,82
Kayle,52.56%,78
Pantheon,50.65%,77
Shen,52.05%,73
Sylas,64.79%,71
Singed,47.76%,67
Kled,56.92%,65
Maokai,45.90%,61
Rengar,57.38%,61
Tryndamere,50.00%,60
Yorick,60.00%,60
Urgot,48.15%,54
Udyr,61.54%,52
Teemo,64.71%,51
Yasuo,40.82%,49
Warwick,45.24%,42
Cho'Gath,56.10%,41
Vayne,50.00%,40
Quinn,55.00%,40
Kennen,52.63%,38
Vladimir,48.48%,33
Trundle,60.61%,33
