K'Sante,48.57%,420
Aatrox,52.04%,294
Garen,48.29%,263
Jax,47.06%,255
Yone,51.69%,236
Malphite,40.52%,232
Renekton,46.70%,212
Darius,53.37%,208
Jayce,43.43%,198
Fiora,46.67%,150
Camille,46.00%,150
Irelia,51.08%,139
Gangplank,46.97%,132
Ornn,46.92%,130
Sion,55.26%,114
Nasus,41.23%,114
Sett,54.87%,113
Rumble,56.44%,101
Riven,39.58%,96
Akali,45.16%,93
Gnar,46.74%,92
Tahm Kench,43.53%,85
Illaoi,50.00%,84
Pantheon,53.09%,81
Kayle,41.25%,80
Volibear,55.84%,77
Mordekaiser,50.00%,76
Teemo,35.21%,71
Olaf,45.71%,70
Tryndamere,47.76%,67
Shen,47.69%,65
Yasuo,46.15%,65
Sylas,44.62%,65
Gwen,51.56%,64
Dr. Mundo,45.16%,62
Poppy,45.76%,59
Kennen,51.79%,56
Singed,44.44%,54
Quinn,40.00%,50
Cho'Gath,43.75%,48
Urgot,51.16%,43
Vladimir,53.66%,41
Gragas,57.50%,40
Yorick,50.00%,40
Vayne,48.65%,37
Kled,54.05%,37
Maokai,54.84%,31
Naafiri,51.61%,31
Swain,63.33%,30
