SELF,aatrox,akali,akshan,briar,camille,chogath,darius,drmundo,fiora,gangplank,garen,gnar,gragas,gwen,illaoi,irelia,jax,jayce,kayle,kennen,kled,ksante,malphite,maokai,mordekaiser,naafiri,nasus,olaf,ornn,pantheon,poppy,quinn,renekton,rengar,riven,rumble,sett,shen,singed,sion,swain,sylas,tahmkench,teemo,trundle,tryndamere,udyr,urgot,vayne,vladimir,volibear,warwick,wukong,yasuo,yone,yorick,zac,zed
aatrox,,53.82,49.66,48.39,51.09,52.34,48.76,60.97,47.7,53.52,50.06,51.6,48.38,49.92,49.05,49.16,50.44,49.05,49.19,48.24,49.1,48.71,48.24,47.39,53.73,46.93,50.91,49.68,50.32,49.84,46.5,50.0,52.74,49.57,51.58,52.01,52.74,50.86,45.79,58.31,44.58,56.33,51.52,51.1,51.95,49.84,46.34,50.12,48.64,47.27,52.06,49.41,47.91,53.42,49.74,51.2,49.87,47.96
akali,46.22,,39.64,50.0,45.96,40.37,47.29,43.39,46.23,46.45,46.37,50.0,53.27,52.51,42.31,49.37,51.04,45.78,52.05,42.79,50.96,47.99,48.88,44.0,54.75,42.48,44.57,48.9,45.55,44.1,42.72,47.34,48.31,39.69,45.93,52.28,44.9,45.79,45.11,51.96,53.73,49.15,47.81,50.74,49.37,50.0,51.95,43.56,47.48,47.1,45.09,49.17,45.45,50.4,52.9,48.51,40.48,54.84
akshan,50.34,60.36,,,52.05,47.83,48.46,63.49,51.47,54.36,49.2,54.04,50.0,53.75,55.38,47.8,51.76,50.73,44.9,53.13,46.34,54.44,44.67,,55.07,,46.22,60.0,56.83,46.9,45.9,38.36,54.1,,53.33,58.82,45.79,32.81,43.64,56.7,,57.5,42.35,57.53,,40.28,,51.52,54.93,48.84,57.38,,,55.38,54.92,48.78,,
briar,52.03,50.0,,,44.44,50.0,44.86,45.0,36.51,48.86,43.06,50.79,,55.22,43.16,51.72,41.98,50.86,50.65,,39.22,47.52,40.56,,50.0,,38.38,40.58,40.43,32.2,39.02,43.24,56.07,,41.53,52.11,50.41,46.51,45.45,61.63,,,43.75,41.3,,52.63,,36.73,,,59.38,,,57.14,48.04,62.75,,
camille,48.96,54.04,47.62,55.56,,50.34,49.66,54.21,50.29,50.27,55.6,56.52,55.19,50.91,51.83,53.55,49.29,56.22,51.68,50.92,54.44,50.76,49.6,51.09,52.07,50.0,52.8,50.11,50.37,53.94,48.75,50.6,50.75,51.63,51.62,52.2,51.25,44.43,50.0,55.07,59.38,55.93,48.93,52.08,47.37,54.27,54.43,53.02,47.5,51.6,50.39,51.03,54.74,57.0,53.38,55.39,46.34,54.05
chogath,47.39,59.88,51.06,50.0,49.66,,51.28,50.52,44.92,55.06,52.78,56.93,56.0,40.5,44.0,50.54,53.76,52.05,48.41,54.9,39.13,45.82,56.16,58.0,47.74,46.0,44.44,51.79,45.3,51.79,48.41,45.13,54.92,54.9,52.25,54.59,49.72,50.0,52.87,47.85,54.55,56.15,40.08,54.08,49.25,51.97,42.31,45.89,41.24,54.39,53.04,56.41,45.45,60.17,51.82,52.85,43.9,57.14
darius,51.28,52.77,51.54,55.35,50.46,48.72,,48.71,53.17,46.93,51.33,49.06,46.39,51.0,49.23,50.42,48.82,49.02,47.17,51.44,46.45,51.58,49.0,46.97,53.44,47.73,50.11,48.89,46.72,52.5,50.31,44.99,53.3,53.97,50.61,51.83,49.43,53.85,50.44,52.56,50.79,55.41,45.83,47.51,50.78,50.98,55.3,48.34,45.94,53.98,52.36,51.75,46.04,54.56,52.39,49.44,49.45,46.67
drmundo,39.15,56.84,36.51,55.0,45.81,49.48,50.98,,44.92,54.39,46.68,48.86,57.32,41.85,50.29,49.03,49.89,53.48,45.85,51.25,43.31,44.41,59.03,43.27,42.11,31.03,43.02,41.83,47.41,46.38,48.21,55.24,54.94,40.86,42.75,45.72,47.23,49.12,47.43,51.92,45.45,44.04,43.39,39.8,59.82,43.9,44.09,46.53,46.51,47.22,52.63,52.0,43.48,57.05,47.95,49.66,37.21,53.13
fiora,52.38,53.85,48.78,63.2,49.78,55.18,46.71,55.08,,51.61,53.33,49.38,53.63,52.4,49.64,51.74,50.54,50.44,47.34,52.28,57.97,52.79,46.46,50.75,55.7,52.55,46.36,52.39,51.62,50.82,47.28,47.04,49.32,49.76,47.96,53.97,52.21,50.47,47.96,54.74,49.56,50.0,51.91,51.17,56.38,49.23,49.33,50.65,44.03,49.0,54.03,51.42,41.83,49.34,53.62,50.8,49.79,53.69
gangplank,46.41,53.45,45.64,51.14,50.0,45.11,53.04,45.59,48.56,,44.4,47.54,45.0,46.25,50.08,47.37,52.48,51.03,45.54,50.0,42.55,47.52,47.97,48.1,53.18,42.65,47.57,44.74,46.81,49.55,51.7,45.1,52.39,48.6,46.66,51.37,50.68,53.48,56.92,46.65,43.33,50.27,45.23,44.98,48.74,44.05,45.27,48.73,46.72,46.83,44.59,52.66,50.0,50.91,53.47,48.69,43.79,52.63
